,elevation,flight,iteration,band,accuracy
312,400.0,pre-sunset,3.0,RGB_IP,0.491
313,50.0,post-sunset,3.0,RGB_IP,0.505
314,100.0,post-sunset,3.0,RGB_IP,0.695
315,150.0,post-sunset,3.0,RGB_IP,0.854
316,200.0,post-sunset,3.0,RGB_IP,0.278
317,250.0,post-sunset,3.0,RGB_IP,0.348
318,300.0,post-sunset,3.0,RGB_IP,0.103
319,350.0,post-sunset,3.0,RGB_IP,0.151
320,400.0,post-sunset,3.0,RGB_IP,0.116
321,50.0,pre-sunrise,4.0,RGB_IP,1.0
322,100.0,pre-sunrise,4.0,RGB_IP,0.405
323,150.0,pre-sunrise,4.0,RGB_IP,0.0
324,200.0,pre-sunrise,4.0,RGB_IP,0.405
325,250.0,pre-sunrise,4.0,RGB_IP,0.0
326,300.0,pre-sunrise,4.0,RGB_IP,0.0
327,350.0,pre-sunrise,4.0,RGB_IP,0.172
328,400.0,pre-sunrise,4.0,RGB_IP,0.077
329,50.0,post-sunrise,4.0,RGB_IP,1.0
330,100.0,post-sunrise,4.0,RGB_IP,0.672
331,150.0,post-sunrise,4.0,RGB_IP,0.755
332,200.0,post-sunrise,4.0,RGB_IP,0.815
333,250.0,post-sunrise,4.0,RGB_IP,0.755
334,300.0,post-sunrise,4.0,RGB_IP,0.755
335,350.0,post-sunrise,4.0,RGB_IP,0.505
336,400.0,post-sunrise,4.0,RGB_IP,0.641
337,50.0,noon,4.0,RGB_IP,0.697
338,100.0,noon,4.0,RGB_IP,0.922
339,150.0,noon,4.0,RGB_IP,0.767
340,200.0,noon,4.0,RGB_IP,0.88
341,250.0,noon,4.0,RGB_IP,0.791
342,300.0,noon,4.0,RGB_IP,0.734
343,350.0,noon,4.0,RGB_IP,0.374
344,400.0,noon,4.0,RGB_IP,0.462
345,50.0,pre-sunset,4.0,RGB_IP,0.905
346,100.0,pre-sunset,4.0,RGB_IP,0.672
347,150.0,pre-sunset,4.0,RGB_IP,0.914
348,200.0,pre-sunset,4.0,RGB_IP,0.81
349,250.0,pre-sunset,4.0,RGB_IP,0.813
