,elevation,flight,iteration,band,accuracy,image_processing
444,250,pre-sunrise,2,LWIR,0.0,Yes
445,300,pre-sunrise,2,LWIR,0.148,Yes
446,350,pre-sunrise,2,LWIR,0.0,Yes
447,400,pre-sunrise,2,LWIR,0.0,Yes
448,50,post-sunrise,2,LWIR,0.505,Yes
449,100,post-sunrise,2,LWIR,0.0,Yes
450,150,post-sunrise,2,LWIR,0.338,Yes
451,200,post-sunrise,2,LWIR,0.434,Yes
452,250,post-sunrise,2,LWIR,0.0,Yes
453,300,post-sunrise,2,LWIR,0.0,Yes
454,350,post-sunrise,2,LWIR,0.0,Yes
455,400,post-sunrise,2,LWIR,0.0,Yes
456,50,noon,2,LWIR,0.505,Yes
457,100,noon,2,LWIR,0.67,Yes
458,150,noon,2,LWIR,0.38,Yes
459,200,noon,2,LWIR,0.596,Yes
460,250,noon,2,LWIR,0.525,Yes
461,300,noon,2,LWIR,0.227,Yes
462,350,noon,2,LWIR,0.231,Yes
463,400,noon,2,LWIR,0.1,Yes
464,50,pre-sunset,2,LWIR,0.805,Yes
465,100,pre-sunset,2,LWIR,0.754,Yes
466,150,pre-sunset,2,LWIR,0.697,Yes
467,200,pre-sunset,2,LWIR,0.691,Yes
468,250,pre-sunset,2,LWIR,0.274,Yes
469,300,pre-sunset,2,LWIR,0.199,Yes
470,350,pre-sunset,2,LWIR,0.131,Yes
471,400,pre-sunset,2,LWIR,0.063,Yes
472,50,post-sunset,2,LWIR,0.672,Yes
473,100,post-sunset,2,LWIR,1.0,Yes
474,150,post-sunset,2,LWIR,0.862,Yes
475,200,post-sunset,2,LWIR,0.811,Yes
476,250,post-sunset,2,LWIR,0.501,Yes
477,300,post-sunset,2,LWIR,0.338,Yes
478,350,post-sunset,2,LWIR,0.128,Yes
479,400,post-sunset,2,LWIR,0.159,Yes
480,50,pre-sunrise,3,LWIR,0.672,Yes
481,100,pre-sunrise,3,LWIR,0.605,Yes
482,150,pre-sunrise,3,LWIR,1.0,Yes
483,200,pre-sunrise,3,LWIR,0.148,Yes
484,250,pre-sunrise,3,LWIR,0.0,Yes
485,300,pre-sunrise,3,LWIR,0.148,Yes
486,350,pre-sunrise,3,LWIR,0.0,Yes
487,400,pre-sunrise,3,LWIR,0.043,Yes
488,50,post-sunrise,3,LWIR,1.0,Yes
489,100,post-sunrise,3,LWIR,0.672,Yes
490,150,post-sunrise,3,LWIR,0.0,Yes
491,200,post-sunrise,3,LWIR,0.0,Yes
492,250,post-sunrise,3,LWIR,0.0,Yes
493,300,post-sunrise,3,LWIR,0.095,Yes
494,350,post-sunrise,3,LWIR,0.0,Yes
495,400,post-sunrise,3,LWIR,0.0,Yes
496,50,noon,3,LWIR,0.338,Yes
497,100,noon,3,LWIR,0.55,Yes
498,150,noon,3,LWIR,0.38,Yes
499,200,noon,3,LWIR,0.637,Yes
500,250,noon,3,LWIR,0.288,Yes
501,300,noon,3,LWIR,0.199,Yes
502,350,noon,3,LWIR,0.132,Yes
503,400,noon,3,LWIR,0.244,Yes
504,50,pre-sunset,3,LWIR,0.711,Yes
505,100,pre-sunset,3,LWIR,0.862,Yes
506,150,pre-sunset,3,LWIR,0.783,Yes
507,200,pre-sunset,3,LWIR,0.725,Yes
508,250,pre-sunset,3,LWIR,0.274,Yes
509,300,pre-sunset,3,LWIR,0.23,Yes
510,350,pre-sunset,3,LWIR,0.062,Yes
511,400,pre-sunset,3,LWIR,0.018,Yes
512,50,post-sunset,3,LWIR,0.998,Yes
513,100,post-sunset,3,LWIR,1.0,Yes
514,150,post-sunset,3,LWIR,0.946,Yes
515,200,post-sunset,3,LWIR,0.358,Yes
516,250,post-sunset,3,LWIR,0.795,Yes
517,300,post-sunset,3,LWIR,0.205,Yes
518,350,post-sunset,3,LWIR,0.142,Yes
519,400,post-sunset,3,LWIR,0.07,Yes
520,50,pre-sunrise,4,LWIR,1.0,Yes
521,100,pre-sunrise,4,LWIR,0.405,Yes
522,150,pre-sunrise,4,LWIR,0.198,Yes
523,200,pre-sunrise,4,LWIR,0.0,Yes
